business_id,name,categories,city,state,postal_code,stars
PSo_C1Sfa13JHjzVNW6ziQ,Indian Walk Veterinary Center,"Pet Services, Pet Groomers, Pets, Veterinarians",Newtown,PA,18940,5.0
9LLxOjEhLNcdx8i4lL6EUQ,Banfield Pet Hospital,"Pets, Veterinarians",Indianapolis,IN,46227,2.0
xvFV3ENVa_9POy_grBs03Q,Warminster Veterinary Hospital,"Pets, Veterinarians",Warminster,PA,18974,4.0
IFDNP-n9bBN1egOsGADYYg,Elysian Fields Animal Clinic,"Pet Sitting, Veterinarians, Pet Services, Pet Groomers, Pets",New Orleans,LA,70122,4.5
lJfxS6RMzAQ7oy8F2vU3Pg,"C R Bhatia, DVM - Animal Clinic of Warrington","Pets, Veterinarians",Warrington,PA,18976,4.5
xa28v84RtUPWQKuw_UQBXQ,The Main Lion Cat Grooming Salon,"Veterinarians, Pet Stores, Pets, Pet Photography, Pet Services, Pet Sitting, Pet Groomers",Paoli,PA,19301,4.0
Htnv87XCc9GXuE6hKEHnNg,Caring Hands Veterinary Clinic,"Veterinarians, Pets",Philadelphia,PA,19114,4.0
Mp9SeTCbDFpynBhttlgwKA,Value Vet,"Veterinarians, Pets",Nashville,TN,37216,3.0
0CMmdGACj_gM8GSTOjhpWQ,The Animal Clinic,"Pet Services, Pets, Pet Groomers, Veterinarians, Pet Sitting, Pet Boarding",Hendersonville,TN,37075,3.0
Iy7_m8lKcE3dxtljcCsoJg,Turkey Creek Animal Hospital,"Veterinarians, Pets",Plant City,FL,33563,4.0
mwNRwT6Hh-8W_BjpIgaxVQ,Hamilton Animal Hospital,"Pets, Veterinarians",Roslyn,PA,19001,3.0
rEt4M2MpiFzS-nqwzKDymw,Central Animal Hospital,"Pets, Veterinarians",Tucson,AZ,85712,4.5
FRJtMz68HULioGOzI5S19g,Banfield Pet Hospital,"Pets, Veterinarians",Warminster,PA,18974,3.0
JbFsyY7pi85oaY4DoAgwCA,Cat Doctors,"Veterinarians, Pets, Pet Services",Santa Barbara,CA,93101,4.5
St0MOWhOcfipWifVUDEQbA,Pet Care Clinic,"Pet Sitting, Pet Services, Veterinarians, Pets, Pet Groomers",Meridian,ID,83642,4.0
MOBvgVwvZMV8hyngcr7hfw,Shiloh Veterinary Clinic,"Veterinarians, Pets",Shiloh,IL,62269,5.0
uMbeb4sQLjqm2rlx3Kss2g,University Pet Clinic,"Pets, Veterinarians, Pet Services",Tucson,AZ,85716,4.0
050cbgbcRB8MtSYPzR6nsg,Swedesboro Animal Hospital,"Pets, Veterinarians",Swedesboro,NJ,08085,2.5
sYRIWLyYqQaAE8WMsmK5-w,Westside Animal Clinic,"Health & Medical, Pet Stores, Veterinarians, Pets, Hospitals, Pet Boarding, Pet Services, Pet Groomers, Pet Sitting",Spring Hill,FL,34606,2.5
7JHjy3WEc_XW3FmCMELRvg,Terry Parkway Animal Hospital,"Pet Stores, Pet Services, Pet Sitting, Pets, Veterinarians",Gretna,LA,70056,4.5
woo40oMhVxDHCjgF66l2oQ,Affordable Veterinary Care,"Pet Services, Pets, Veterinarians, Emergency Pet Hospital",Mt. Juliet,TN,37122,3.5
1hvbc-mejWxnRh_9Nlyxjg,Riverview Veterinary Hospital,"Veterinarians, Pets",Riverview,FL,33578,2.5
IRsqmVGd45zAUcEHmVW8Yg,Kindness Animal Hospital,"Pets, Veterinarians",Tampa,FL,33612,4.5
HUikwo_T9mnpgk0M7oUHXg,2nd Street Animal Hospital,"Emergency Pet Hospital, Pets, Pet Services, Veterinarians, Orthopedists, Health & Medical, Doctors",Philadelphia,PA,19123,4.5
HsI2szO4K5t-EYyDxLfLjQ,The Cat Hospital Of Tampa Bay,"Pet Groomers, Health & Medical, Pet Services, Pet Sitting, Pets, Hospitals, Veterinarians, Pet Boarding",Saint Petersburg,FL,33702,1.5
6jgRI0lDt48CY8j1GAGuKQ,Red Bank Veterinary Hospital Mount Laurel,"Veterinarians, Pets",Mount Laurel Township,NJ,08054,3.5
tvETj96WGxmq-0jTrGG0GQ,Zionsville Country Veterinary Clinic,"Pets, Veterinarians",Zionsville,IN,46077,4.0
QoXgycD2U0Eyo7rbdnb5JQ,Pet Paradise New Orleans,"Pet Sitting, Pet Services, Veterinarians, Pet Groomers, Pet Training, Pets, Pet Boarding",Kenner,LA,70062,4.5
Ob3KfxvnALCS1Xdyl35nAw,Volunteer Veterinary Clinic,"Pet Services, Pet Sitting, Pets, Veterinarians, Pet Boarding, Emergency Pet Hospital",Hendersonville,TN,37075,4.0
QWBBEFlGOtND_ldvmKdprA,Radnor Veterinary Hospital,"Pet Services, Pets, Veterinarians",Wayne,PA,19087,4.0
J7fpVm9yZhhp_-ZmMsjmlA,NorthStar Vets - Maple Shade,"Pet Services, Emergency Pet Hospital, Pets, Veterinarians",Maple Shade Township,NJ,08052,3.5
cPVSw0-l8cld1XwoJmYBwg,Michigan Road Animal Hospital at 96th Street,"Pet Boarding, Pet Services, Veterinarians, Pet Groomers, Emergency Pet Hospital, Pet Sitting, Pets",Indianapolis,IN,46268,3.5
xQfndhqY4hWlNeKX4avqPw,Southbay Animal Hospital,"Veterinarians, Pets",Riverview,FL,33578,4.0
ic5sXFD3-Ou4Vj49eELSRA,Rolling Hills Pet Clinic,"Pet Adoption, Pets, Arts & Crafts, Shopping, Pet Hospice, Urgent Care, Veterinarians, Pet Services, Art Supplies, Health & Medical",Tucson,AZ,85730,4.5
uYDntnuBE-KckXRZXbo4iQ,Ewing Animal Hospital,"Pets, Veterinarians, Pet Sitting, Pet Services, Pet Boarding, Pet Groomers",Boise,ID,83703,3.0
ScnZfskF50VacnWdiVYL5A,Quality Pet Care,"Pet Groomers, Pets, Veterinarians, Pet Services, Pet Sitting",Gretna,LA,70056,5.0
DSXdF5VHrzQx24d_QI1NTQ,Pet Community Center,"Pets, Veterinarians, Pet Services",Nashville,TN,37207,4.5
FvsoAgtOyBwoAuTyApGpWg,Colmar Veterinary Hospital,"Pet Groomers, Health & Medical, Pets, Hospice, Pet Services, Veterinarians",Colmar,PA,18915,4.5
obkZonuJTC_Qng9AwAEjMg,Hernando Animal Hospital,"Veterinarians, Pet Sitting, Pet Services, Pet Boarding, Pets",Spring Hill,FL,34606,2.5
x8JXTCYYSt1JTSG9huJrQQ,Cats Bridge To Rescue,"Veterinarians, Pet Adoption, Pets, Animal Shelters",Trevose,PA,19053,5.0
1oa1vyzmOFPUyy11uDiw6w,Kirkwood Animal Hospital,"Veterinarians, Pet Services, Pet Sitting, Pets",Saint Louis,MO,63122,4.5
Tgbvu1MMS_B5AT9doZ4MAw,Medicine River Animal Hospital,"Veterinarians, Pets",Madeira Beach,FL,33708,5.0
oEHg59Tk32XtAA3KOHL4Wg,Marlton Animal Hospital,"Veterinarians, Pets",Marlton,NJ,08053,2.5
YqDrFqM-dH6vsASpSbnMew,The Goodland Pet Hospital - La Concepcion,"Veterinarians, Pets",Goleta,CA,93117,3.5
