business_id,name,categories,city,state,postal_code,stars
PSo_C1Sfa13JHjzVNW6ziQ,Indian Walk Veterinary Center,"Pet Services, Pet Groomers, Pets, Veterinarians",Newtown,PA,18940,5.0
sE6jSnvMts_MAn-b4OkMAw,K-9 Groom Room,"Pet Groomers, Pet Sitting, Pets, Pet Services",Troy,IL,62294,4.0
8ThWgxiTB83nrIGbZQnNBg,Creature Comforts Pet Sitting,"Pet Services, Pet Sitting, Pets",Ardmore,PA,19003,5.0
CPor0p2hvvHJJN4L0U_zEg,Ann Becnel Companion Dogs,"Pet Services, Pets, Pet Training",New Orleans,LA,70124,5.0
IFDNP-n9bBN1egOsGADYYg,Elysian Fields Animal Clinic,"Pet Sitting, Veterinarians, Pet Services, Pet Groomers, Pets",New Orleans,LA,70122,4.5
CsjKkpApaYJDd5woO9sP4w,Petco,"Pets, Pet Groomers, Pet Training, Pet Services, Pet Stores",Seminole,FL,33772,3.0
34YgAnnZAPOeu8E-6IESJQ,Think Box Photography,"Session Photography, Photographers, Pets, Pet Services, Event Planning & Services, Pet Photography, Real Estate Services, Real Estate Photography, Event Photography, Real Estate, Home Services",Boise,ID,83704,5.0
eq4xYdVExp3jLYAZ71uvPA,Fetch Academy & Dog Resort,"Pet Groomers, Pet Sitting, Pets, Pet Services, Pet Training",Indianapolis,IN,46268,3.5
g736EKijhJTrQbqoQAo9Tw,The Pet Trailer Mobile Grooming,"Pet Services, Pet Groomers, Pet Sitting, Pets",Pinellas Park,FL,33782,5.0
xa28v84RtUPWQKuw_UQBXQ,The Main Lion Cat Grooming Salon,"Veterinarians, Pet Stores, Pets, Pet Photography, Pet Services, Pet Sitting, Pet Groomers",Paoli,PA,19301,4.0
ufscOQH8rFo4BHIHj0au3A,Kristi's Pet Grooming,"Pets, Pet Stores, Pet Services, Pet Groomers",Reno,NV,89503,4.0
x7R0FReViemWjQO581WI5A,Debbie's Pet Sitting,"Dog Walkers, Pet Services, Health & Medical, Reiki, Pet Sitting, Pets",Philadelphia,PA,19147,5.0
LmzvM18dxbPg7GZWfNamiQ,Fur and Feather Works,"Pet Services, Pets, Pet Training",Reno,NV,89521,4.5
0CMmdGACj_gM8GSTOjhpWQ,The Animal Clinic,"Pet Services, Pets, Pet Groomers, Veterinarians, Pet Sitting, Pet Boarding",Hendersonville,TN,37075,3.0
i5xAm14TcOKpHKS7d3tLNg,The Dog House,"Pets, Pet Groomers, Pet Sitting, Pet Services",Thorndale,PA,19372,4.0
UFpCraqzFBAhtZqmxmiWsA,Cat Therapy,"Themed Cafes, Cafes, Pets, Arts & Entertainment, Women's Clothing, Coffee & Tea, Shopping, Pet Adoption, Fashion, Pet Sitting, Accessories, Pet Stores, Pet Services, Food, Restaurants",Santa Barbara,CA,93101,4.5
Dq1nXxrAHZQkiQuZWLajQA,Pawsitively Fintastic,"Pet Stores, Pet Services, Pets, Pet Sitting",Saint Louis,MO,63109,3.5
JbFsyY7pi85oaY4DoAgwCA,Cat Doctors,"Veterinarians, Pets, Pet Services",Santa Barbara,CA,93101,4.5
St0MOWhOcfipWifVUDEQbA,Pet Care Clinic,"Pet Sitting, Pet Services, Veterinarians, Pets, Pet Groomers",Meridian,ID,83642,4.0
evZKyAZ4UePe8RLPzBDcbg,Suds and Swagger,"Pet Services, Pet Groomers, Pets",Philadelphia,PA,19147,4.5
J-jTtdjLEEIHZW7X6NVzMQ,Hot Diggity Dog,"Pet Services, Pet Groomers, Pet Stores, Pets",Sewell,NJ,08080,5.0
Hs28Z-U0P9ouwSurPUEXYQ,Happy Pets Inn,"Pets, Pet Groomers, Pet Services, Pet Sitting",Plant City,FL,33567,5.0
NmWcA9gceH74HU-GNoQeNg,Zen Pet Care Services,"House Sitters, Home Services, Pet Hospice, Dog Walkers, Health & Medical, Pet Services, Pet Transportation, Active Life, Pets, Dog Parks, Parks, Pet Sitting",Boise,ID,83702,5.0
hqdWx3ClN3HEyaWeRuAzBQ,Malvern Grooms,"Pets, Pet Groomers, Pet Services",Malvern,PA,19355,4.5
h5-Ay4V4XbRu-MvWyYC5yQ,The Groomin Room,"Pet Services, Pets, Pet Groomers",Philadelphia,PA,19136,4.0
CSyGosp_Mxe3FK9bdZL7Yw,Steam Smart Pro,"Home Cleaning, Air Duct Cleaning, Heating & Air Conditioning/HVAC, Refinishing Services, Shopping, Local Services, Tiling, Pet Services, Pets, Furniture Reupholstery, Carpet Cleaning, Home Services, Home & Garden, Damage Restoration",Tucson,AZ,85741,4.0
uMbeb4sQLjqm2rlx3Kss2g,University Pet Clinic,"Pets, Veterinarians, Pet Services",Tucson,AZ,85716,4.0
nGUwLgJs6oIF0cRVMXkObQ,Fur Bee,"Pet Groomers, Shopping, Pet Services, Pets",Indianapolis,IN,46220,5.0
sYRIWLyYqQaAE8WMsmK5-w,Westside Animal Clinic,"Health & Medical, Pet Stores, Veterinarians, Pets, Hospitals, Pet Boarding, Pet Services, Pet Groomers, Pet Sitting",Spring Hill,FL,34606,2.5
rwzzJgXG5NNoNHlra-XEwg,Leash,"Pet Sitting, Dog Walkers, Pet Services, Pets",New Orleans,LA,70124,5.0
ulFLsCym5q7H-ZuL93csSw,Happy Pets Grooming Spa,"Pet Stores, Pet Groomers, Pet Services, Pets, Pet Sitting",Fenton,MO,63026,4.0
SDuso-KRP-gkOqiyNEwd2w,Awe For Pets Sake,"Pet Services, Pet Groomers, Pets",Zephyrhills,FL,33542,4.0
