business_id,name,categories,city,state,postal_code,stars
CsjKkpApaYJDd5woO9sP4w,Petco,"Pets, Pet Groomers, Pet Training, Pet Services, Pet Stores",Seminole,FL,33772,3.0
xa28v84RtUPWQKuw_UQBXQ,The Main Lion Cat Grooming Salon,"Veterinarians, Pet Stores, Pets, Pet Photography, Pet Services, Pet Sitting, Pet Groomers",Paoli,PA,19301,4.0
ufscOQH8rFo4BHIHj0au3A,Kristi's Pet Grooming,"Pets, Pet Stores, Pet Services, Pet Groomers",Reno,NV,89503,4.0
UFpCraqzFBAhtZqmxmiWsA,Cat Therapy,"Themed Cafes, Cafes, Pets, Arts & Entertainment, Women's Clothing, Coffee & Tea, Shopping, Pet Adoption, Fashion, Pet Sitting, Accessories, Pet Stores, Pet Services, Food, Restaurants",Santa Barbara,CA,93101,4.5
Dq1nXxrAHZQkiQuZWLajQA,Pawsitively Fintastic,"Pet Stores, Pet Services, Pets, Pet Sitting",Saint Louis,MO,63109,3.5
N4Yhp3p8lOoJdi-2E8yTsg,Almost Home Animal Shelter,"Pets, Animal Shelters, Pet Stores",Pennsauken,NJ,08110,1.5
J-jTtdjLEEIHZW7X6NVzMQ,Hot Diggity Dog,"Pet Services, Pet Groomers, Pet Stores, Pets",Sewell,NJ,08080,5.0
sYRIWLyYqQaAE8WMsmK5-w,Westside Animal Clinic,"Health & Medical, Pet Stores, Veterinarians, Pets, Hospitals, Pet Boarding, Pet Services, Pet Groomers, Pet Sitting",Spring Hill,FL,34606,2.5
ulFLsCym5q7H-ZuL93csSw,Happy Pets Grooming Spa,"Pet Stores, Pet Groomers, Pet Services, Pets, Pet Sitting",Fenton,MO,63026,4.0
kfcz8iJOkltAvkp6TqNMcA,Fairmount Pet Shoppe,"Pet Stores, Pets",Philadelphia,PA,19176,4.5
7JHjy3WEc_XW3FmCMELRvg,Terry Parkway Animal Hospital,"Pet Stores, Pet Services, Pet Sitting, Pets, Veterinarians",Gretna,LA,70056,4.5
caiaxbDoP-HRQN3RZwMgCw,Taylor Tack & Feed,"Pet Stores, Pets, Shopping, Horse Equipment Shops",Tucson,AZ,85730,3.0
